epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.359,0.87064,1.58197,1.87895,1.10734,0.81451,0.47172,0.51932,0.35549,0.82078,0.45914,0.50258,0.2962,0.80553,1.42202,1.10151,1.03545,0.000195644,0.000195644,0.000195644
2,590.4,0.76587,1.32903,0.92823,1.02346,0.80727,0.48372,0.51971,0.36485,0.81279,0.46408,0.50489,0.29049,0.78968,1.41501,1.05108,1.02427,0.000352871,0.000352871,0.000352871
3,677.28,0.74482,1.29851,0.80004,1.00461,0.81668,0.4851,0.55426,0.38349,0.82199,0.46561,0.52989,0.30241,0.81545,1.46382,0.90208,1.02448,0.00047129,0.00047129,0.00047129
4,770.202,0.71514,1.24083,0.7014,0.98703,0.84362,0.53285,0.58605,0.41483,0.83642,0.5228,0.56833,0.35027,0.74616,1.28025,0.72563,0.98433,0.000413364,0.000413364,0.000413364
5,857.703,0.69174,1.18143,0.64422,0.97299,0.73244,0.52309,0.57315,0.41359,0.73663,0.51225,0.55148,0.34518,0.69908,1.20872,0.70476,0.95641,0.000355152,0.000355152,0.000355152
6,941.164,0.66896,1.14032,0.59269,0.9591,0.85803,0.58352,0.61811,0.45115,0.85745,0.57399,0.60128,0.37695,0.66257,1.14689,0.66259,0.9426,0.00029694,0.00029694,0.00029694
7,1026.54,0.64382,1.09119,0.55179,0.94829,0.89654,0.57816,0.64744,0.49361,0.88853,0.57162,0.62711,0.41366,0.63964,1.11473,0.56722,0.92274,0.000238728,0.000238728,0.000238728
8,1122.14,0.62339,1.04808,0.52327,0.93295,0.87055,0.60146,0.64687,0.49391,0.86424,0.59788,0.63178,0.41668,0.61612,1.07371,0.55475,0.91223,0.000180516,0.000180516,0.000180516
9,1224.3,0.60752,1.01304,0.49522,0.92606,0.90608,0.62143,0.6733,0.52082,0.90239,0.61092,0.65332,0.44384,0.6043,1.0332,0.50908,0.90106,0.000122304,0.000122304,0.000122304
10,1312.48,0.59311,0.9846,0.47382,0.91829,0.89549,0.62705,0.66866,0.52208,0.89314,0.61578,0.65015,0.434,0.58593,1.00253,0.4911,0.89326,6.4092e-05,6.4092e-05,6.4092e-05
